Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
10000,1.4189383,0.00029925007,-0.9895204,-0.0902439065095855,-0.0902439065095855,238.4878048780488
20000,1.4179873,0.00029775008,-0.69968635,-0.15909091450951315,-0.15909091450951315,223.0909090909091
30000,1.4186358,0.0002962501,-0.7879255,-0.11707317538377715,-0.11707317538377715,239.1951219512195
40000,1.4184928,0.0002947501,-0.7569785,0.058064514590847875,0.058064514590847875,311.5806451612903
50000,1.4200027,0.00029325008,-0.37472922,-0.11612903687261766,-0.11612903687261766,316.64516129032256
60000,1.4212111,0.0002917501,-0.40047443,0.20476190249125162,0.20476190249125162,231.57142857142858
70000,1.4207015,0.00029025011,-0.2558694,-0.10882353432038251,-0.10882353432038251,290.88235294117646
80000,1.4206234,0.0002887501,-0.26100695,0.1899999976158142,0.1899999976158142,331.8333333333333
90000,1.4203254,0.0002872501,-0.24868359,-0.23333334005795991,-0.23333334005795991,248.84615384615384
100000,1.4193085,0.0002857501,-0.092344806,-0.07073171255065173,-0.07073171255065173,239.5609756097561
110000,1.4188553,0.0002842501,-0.14440088,-0.13428571905408587,-0.13428571905408587,282.3142857142857
120000,1.4184055,0.0002827501,-0.06933102,0.09230768986237355,0.09230768986237355,253.17948717948718
130000,1.4179895,0.0002812501,-0.0864022,0.10731706968167933,0.10731706968167933,240.34146341463415
140000,1.4173768,0.0002797501,-0.08284255,0.14242424025680078,0.14242424025680078,293.969696969697
150000,1.4171613,0.0002782501,-0.061252046,-0.09500000476837159,-0.09500000476837159,244.15
160000,1.4169871,0.0002767501,-0.036366582,0.06486486099861763,0.06486486099861763,264.5135135135135
170000,1.4170542,0.0002752501,-0.020599848,0.046808506580109294,0.046808506580109294,209.61702127659575
180000,1.4172701,0.00027375008,0.0046629016,-4.967053731282552e-09,-4.967053731282552e-09,192.95833333333334
190000,1.4171077,0.0002722501,-0.03462209,0.16999999880790712,0.16999999880790712,262.55
200000,1.4167475,0.00027075008,-0.030640371,0.2327586186343226,0.2327586186343226,167.55172413793105
210000,1.416092,0.0002692501,0.039801657,0.1888888853567618,0.1888888853567618,183.35185185185185
220000,1.4158382,0.00026775012,0.052062057,0.06382978216130683,0.06382978216130683,209.4468085106383
230000,1.4162941,0.0002662501,0.015782023,-0.06530612828780194,-0.06530612828780194,199.85714285714286
240000,1.417114,0.0002647501,0.043089345,0.03392856674534934,0.03392856674534934,174.58928571428572
250000,1.417403,0.00026325008,0.08834297,0.1537037006130925,0.1537037006130925,181.4814814814815
260000,1.4173317,0.0002617501,0.07572782,0.24406779418557378,0.24406779418557378,163.83050847457628
270000,1.4168622,0.00026025012,0.09183663,0.08076922710125263,0.08076922710125263,191.71153846153845
280000,1.4170699,0.0002587501,0.11580024,0.21206896263977576,0.21206896263977576,167.6206896551724
290000,1.4176035,0.0002572501,0.046378233,0.27457626795364637,0.27457626795364637,165.76271186440678
300000,1.4181042,0.0002557501,0.086696185,0.14137930705629545,0.14137930705629545,165.93103448275863
310000,1.4183633,0.0002542501,0.06405173,0.15862068636664028,0.15862068636664028,174.0344827586207
320000,1.4191837,0.00025275012,0.042531133,0.24117646848454194,0.24117646848454194,144.2058823529412
330000,1.4204541,0.0002512501,0.08116086,0.18472221990426382,0.18472221990426382,134.125
340000,1.4201852,0.0002497501,0.07917372,0.2629629609025555,0.2629629609025555,121.72839506172839
350000,1.419151,0.00024825011,0.035314474,0.1999999965940203,0.1999999965940203,139.5857142857143
360000,1.4194158,0.0002467501,0.124552324,0.25617977206626635,0.25617977206626635,110.2247191011236
370000,1.4201291,0.0002452501,0.11976302,0.4024691346250934,0.4024691346250934,121.24691358024691
380000,1.4200988,0.0002437501,0.16304307,0.3216494825697437,0.3216494825697437,97.76288659793815
390000,1.4196092,0.00024225011,0.21251935,0.3593749987582366,0.3593749987582366,104.04166666666667
400000,1.4192312,0.00024075012,0.14765228,0.290804595782839,0.290804595782839,112.57471264367815
410000,1.4189202,0.00023925013,0.16372518,0.28409090638160706,0.28409090638160706,111.52272727272727
420000,1.4190947,0.00023775012,0.18194637,0.27294117422664865,0.27294117422664865,114.98823529411764
430000,1.4201767,0.00023625011,0.17081338,0.22842104936900892,0.22842104936900892,102.37894736842105
440000,1.421179,0.00023475013,0.16589461,0.2999999975336009,0.2999999975336009,112.816091954023
450000,1.4218403,0.00023325012,0.13061342,0.35277777579095626,0.35277777579095626,134.90277777777777
460000,1.421907,0.00023175013,0.18527946,0.3127450954680349,0.3127450954680349,96.86274509803921
470000,1.4223291,0.00023025012,0.13990189,0.27261904449689955,0.27261904449689955,116.78571428571429
480000,1.4231367,0.00022875013,0.15751046,0.39120879016079746,0.39120879016079746,106.52747252747253
490000,1.4231346,0.00022725013,0.15547468,0.34712643458925446,0.34712643458925446,112.13793103448276
500000,1.4228871,0.00022575012,0.19561915,0.28558558279329593,0.28558558279329593,89.21621621621621
510000,1.42237,0.00022425012,0.19308542,0.3594059389416534,0.3594059389416534,96.57425742574257
520000,1.4224044,0.00022275011,0.16613394,0.3378640748922107,0.3378640748922107,94.3495145631068
530000,1.4231281,0.00022125013,0.1920792,0.29499999682108563,0.29499999682108563,81.9
540000,1.4239535,0.00021975012,0.17065488,0.37222222045615866,0.37222222045615866,89.12037037037037
550000,1.4243469,0.00021825013,0.17092903,0.2546391720624314,0.2546391720624314,102.01030927835052
